Sample_ID,Temperature,DO,pH,Turbidity,BOD,Conductivity,Ammonia,Nitrate,Hardness,COD,CO2,Alkalinity,Activity_Level,No_of_Disease_Occurrences,Disease_Risk,Status
1,28.69,5.89,7.51,3.3,2.46,685.7,0.055,12.54,151.3,10.91,5.99,122.7,0.799,0,0.114,Healthy
2,29.72,8.15,7.59,3.33,1.97,283.9,0.064,22.69,82.6,18.27,3.61,112.8,0.6,0,0.154,Healthy
3,28.22,5.82,7.27,2.86,4.58,509.6,0.047,23.14,108.4,28.75,4.99,87.7,0.972,0,0.106,Healthy
4,28.17,6.9,7.58,3.43,1.74,543.3,0.05,28.27,138.2,7.34,0.75,74.2,0.65,0,0.131,Healthy
5,31.95,6.44,7.22,1.32,3.11,485.9,0.037,18.49,82.2,5.0,5.63,66.6,0.52,0,0.133,Healthy
6,31.09,5.38,7.42,3.48,2.05,526.2,0.054,25.19,108.3,12.12,5.21,90.3,0.84,0,0.118,Healthy
7,29.14,7.76,7.37,2.94,4.59,544.2,0.05,26.86,114.6,25.11,6.51,67.1,0.39,0,0.159,Healthy
8,29.42,6.5,7.36,4.92,5.92,486.9,0.032,22.23,117.0,30.26,6.33,76.7,0.881,0,0.103,Healthy
9,30.15,7.22,7.3,3.57,3.64,385.0,0.05,37.15,57.1,14.85,5.92,91.9,0.447,0,0.165,Healthy
10,30.87,6.14,7.05,4.2,4.27,375.4,0.008,33.49,129.5,20.65,9.75,127.3,0.968,0,0.09,Healthy
11,30.51,5.81,7.46,1.86,4.56,524.1,0.043,13.35,80.2,22.85,6.93,120.9,0.722,0,0.1,Healthy
12,27.06,7.4,7.67,3.34,3.09,332.9,0.044,34.03,81.2,18.51,6.14,93.9,0.733,0,0.124,Healthy
13,29.41,6.55,7.9,2.3,6.27,389.2,0.037,25.26,69.9,16.87,9.3,110.5,0.764,0,0.128,Healthy
14,29.34,6.15,7.55,2.97,2.45,406.7,0.061,21.11,93.4,31.63,8.23,90.2,0.803,0,0.123,Healthy
15,31.03,6.57,7.29,3.53,3.5,492.3,0.041,34.45,142.9,20.77,5.29,83.3,0.852,0,0.114,Healthy
16,30.33,5.38,7.42,2.42,4.57,403.8,0.035,6.49,92.4,22.52,6.9,104.4,0.544,0,0.115,Healthy
17,26.0,7.67,7.92,2.78,3.52,391.7,0.039,18.07,109.0,22.16,7.4,87.0,0.742,0,0.137,Healthy
18,28.44,6.36,7.25,2.32,4.48,448.4,0.038,21.34,93.7,18.93,4.61,100.3,0.719,0,0.118,Healthy
19,31.5,6.3,7.88,2.32,2.68,421.3,0.023,26.92,138.1,19.6,7.28,91.4,0.773,0,0.107,Healthy
20,28.34,5.49,7.56,2.63,3.52,499.5,0.029,10.28,119.9,21.18,2.06,101.0,0.763,0,0.086,Healthy
21,28.19,6.86,7.61,1.05,5.77,496.9,0.042,29.63,127.2,11.45,4.07,107.8,0.791,0,0.092,Healthy
22,29.72,5.83,7.34,3.19,2.32,405.9,0.033,14.08,53.3,24.26,4.86,58.6,0.886,0,0.092,Healthy
23,33.87,6.1,8.02,2.46,4.41,436.0,0.058,25.94,112.6,12.04,7.1,113.8,0.913,0,0.152,Healthy
24,27.47,6.91,7.48,2.79,5.58,411.9,0.015,23.89,133.6,30.95,7.84,105.7,0.683,0,0.073,Healthy
25,28.13,7.81,7.46,2.73,4.85,443.9,0.021,14.99,118.2,14.72,5.88,69.5,0.791,0,0.072,Healthy
26,29.19,6.96,7.66,3.49,5.37,526.7,0.032,16.29,111.5,28.14,6.72,99.5,0.704,0,0.112,Healthy
27,29.45,5.13,7.1,4.75,4.58,430.8,0.041,8.25,136.9,29.18,3.3,63.5,0.929,0,0.134,Healthy
28,29.79,6.36,7.12,3.18,4.79,532.5,0.016,24.11,80.5,10.04,4.97,77.0,0.673,0,0.115,Healthy
29,29.0,5.84,7.78,2.07,6.06,300.5,0.056,21.19,60.1,24.42,6.14,102.2,0.755,0,0.138,Healthy
30,31.02,7.53,7.81,2.79,3.11,533.9,0.005,29.76,75.8,22.33,7.91,77.2,0.688,0,0.09,Healthy
31,27.93,6.17,7.49,4.3,3.43,481.1,0.057,33.14,55.6,32.7,5.36,98.5,0.693,0,0.134,Healthy
32,27.75,6.63,6.99,2.28,4.49,314.2,0.02,27.76,149.5,16.76,3.86,88.1,0.766,0,0.117,Healthy
33,25.44,6.54,7.43,4.3,4.77,436.9,0.025,37.71,77.5,16.71,6.97,89.4,0.534,0,0.117,Healthy
34,26.21,7.26,7.08,1.26,3.29,272.9,0.024,13.84,147.0,12.5,8.35,95.7,0.587,0,0.124,Healthy
35,27.71,7.09,7.86,4.11,2.45,580.3,0.018,22.75,134.9,21.49,1.6,139.7,0.736,0,0.115,Healthy
36,29.84,6.11,7.4,1.97,3.78,570.7,0.032,25.87,101.7,18.97,4.21,89.3,0.745,0,0.091,Healthy
37,27.1,8.04,7.69,3.39,5.16,481.5,0.03,21.45,103.9,22.05,8.15,122.8,0.679,0,0.113,Healthy
38,29.18,5.98,7.18,2.33,4.09,359.4,0.016,36.54,104.2,31.88,5.46,91.7,0.844,0,0.086,Healthy
39,27.4,6.36,7.72,3.24,3.53,451.3,0.023,27.74,113.3,22.21,6.8,73.3,0.762,0,0.098,Healthy
40,29.5,6.21,7.64,0.67,4.52,319.0,0.007,27.4,107.2,23.9,3.53,105.4,0.66,0,0.062,Healthy
41,25.46,6.2,7.58,2.77,2.81,499.0,0.038,20.6,134.0,18.09,3.54,71.3,0.876,0,0.089,Healthy
42,28.7,5.46,7.95,4.19,4.85,491.5,0.034,39.48,83.5,23.07,5.61,90.7,0.449,0,0.175,Healthy
43,26.69,6.92,7.91,4.4,4.91,510.1,0.062,25.21,93.3,11.04,3.61,96.0,0.719,0,0.179,Healthy
44,27.54,6.43,7.09,2.24,3.74,306.5,0.027,23.71,77.6,21.06,7.13,98.3,0.817,0,0.11,Healthy
45,27.04,6.82,7.4,2.93,3.02,369.8,0.042,47.17,73.2,20.35,9.32,94.1,0.619,0,0.123,Healthy
46,29.43,6.42,7.44,1.4,4.62,447.3,0.038,28.69,101.5,33.82,2.18,77.6,0.772,0,0.087,Healthy
47,29.57,6.52,7.28,3.87,4.39,418.9,0.005,38.56,114.2,11.75,4.73,83.1,0.474,0,0.111,Healthy
48,27.87,8.59,7.74,4.74,4.17,415.2,0.045,17.52,70.7,20.31,7.07,81.5,0.652,0,0.151,Healthy
49,29.5,5.87,7.09,4.49,3.83,478.5,0.034,31.14,146.5,20.42,4.73,151.0,0.755,0,0.142,Healthy
50,31.02,6.09,7.43,3.44,3.27,437.2,0.017,8.67,81.5,14.08,4.97,52.9,0.929,0,0.061,Healthy
51,29.1,4.89,7.26,3.99,4.23,383.6,0.029,17.94,92.2,21.01,7.33,109.5,0.86,0,0.105,Healthy
52,29.37,5.96,7.13,3.62,3.07,558.7,0.06,15.95,102.0,26.88,5.25,91.0,0.599,0,0.179,Healthy
53,28.98,8.63,7.79,2.47,3.23,333.4,0.016,28.92,71.7,35.36,5.32,108.6,0.711,0,0.097,Healthy
54,30.51,7.66,7.74,3.46,4.79,329.0,0.042,24.74,155.2,26.33,8.27,75.2,0.945,0,0.108,Healthy
55,30.99,7.01,6.87,2.92,3.66,571.2,0.019,29.16,101.5,29.24,5.46,108.2,0.978,0,0.111,Healthy
56,27.62,6.1,7.59,2.63,3.79,454.8,0.026,22.04,62.3,16.44,4.85,112.4,0.819,0,0.079,Healthy
57,26.68,6.91,7.2,3.5,3.2,524.3,0.036,21.29,101.6,5.0,6.03,83.1,0.673,0,0.134,Healthy
58,29.03,7.91,7.91,1.79,3.25,463.9,0.03,27.59,104.0,11.53,9.01,163.8,0.837,0,0.108,Healthy
59,30.14,5.72,7.56,2.39,2.83,436.3,0.065,28.26,114.3,14.48,7.27,101.4,0.511,0,0.155,Healthy
